,latitude,longitude,acq_date
377,-35.749,148.236,1/01/2020
378,-35.736,148.235,1/01/2020
379,-35.738,148.21,1/01/2020
380,-35.725,148.209,1/01/2020
381,-35.711,148.207,1/01/2020
382,-35.713,148.181,1/01/2020
383,-35.7,148.179,1/01/2020
384,-35.685,148.203,1/01/2020
385,-35.687,148.178,1/01/2020
386,-35.672,148.201,1/01/2020
387,-35.674,148.17600000000002,1/01/2020
388,-35.702,148.19899999999998,1/01/2020
389,-35.689,148.196,1/01/2020
390,-35.691,148.171,1/01/2020
391,-35.675,148.194,1/01/2020
392,-35.662,148.19299999999998,1/01/2020
393,-35.664,148.168,1/01/2020
394,-35.647,148.216,1/01/2020
395,-35.649,148.192,1/01/2020
396,-35.634,148.215,1/01/2020
397,-35.635999999999996,148.191,1/01/2020
398,-35.622,148.188,1/01/2020
399,-35.424,150.355,1/01/2020
400,-35.426,150.33700000000002,1/01/2020
401,-35.529,148.066,1/01/2020
402,-35.515,148.064,1/01/2020
403,-35.516999999999996,148.037,1/01/2020
404,-35.501999999999995,148.062,1/01/2020
405,-35.504,148.036,1/01/2020
406,-35.506,148.01,1/01/2020
407,-35.531,148.085,1/01/2020
408,-35.533,148.059,1/01/2020
409,-35.52,148.05700000000002,1/01/2020
410,-35.509,148.029,1/01/2020
411,-35.309,150.029,1/01/2020
412,-35.289,149.988,1/01/2020
413,-35.291,149.968,1/01/2020
414,-35.278,149.986,1/01/2020
415,-35.279,149.967,1/01/2020
416,-35.268,149.965,1/01/2020
417,-35.204,150.529,1/01/2020
418,-35.256,149.964,1/01/2020
419,-35.271,149.98,1/01/2020
420,-35.273,149.961,1/01/2020
421,-35.205999999999996,150.524,1/01/2020
422,-35.2,150.47,1/01/2020
423,-35.248000000000005,149.977,1/01/2020
424,-35.25,149.958,1/01/2020
425,-35.188,150.468,1/01/2020
426,-35.19,150.45,1/01/2020
427,-35.238,149.95600000000002,1/01/2020
428,-35.213,149.972,1/01/2020
429,-35.144,150.569,1/01/2020
430,-35.154,150.463,1/01/2020
431,-35.133,150.567,1/01/2020
432,-35.134,150.549,1/01/2020
433,-35.141,150.47899999999998,1/01/2020
434,-35.125,150.53,1/01/2020
435,-35.13,150.477,1/01/2020
436,-35.132,150.46,1/01/2020
437,-35.124,150.541,1/01/2020
438,-35.126,150.523,1/01/2020
439,-35.131,150.47,1/01/2020
440,-35.332,147.808,1/01/2020
441,-35.278,147.878,1/01/2020
442,-35.015,150.503,1/01/2020
443,-35.016,150.486,1/01/2020
444,-34.998000000000005,150.553,1/01/2020
445,-35.005,150.484,1/01/2020
446,-34.986999999999995,150.55200000000002,1/01/2020
447,-34.996,150.101,1/01/2020
448,-34.984,150.099,1/01/2020
449,-34.971,150.11700000000002,1/01/2020
450,-34.973,150.09799999999998,1/01/2020
451,-34.986,150.112,1/01/2020
452,-34.988,150.092,1/01/2020
453,-34.974000000000004,150.111,1/01/2020
454,-34.976,150.091,1/01/2020
455,-34.933,150.41299999999998,1/01/2020
456,-34.948,150.012,1/01/2020
457,-34.95,149.993,1/01/2020
458,-34.952,149.974,1/01/2020
459,-34.937,150.011,1/01/2020
460,-34.939,149.99200000000002,1/01/2020
461,-34.297,149.958,1/01/2020
462,-32.696999999999996,150.19899999999998,1/01/2020
463,-32.695,150.216,1/01/2020
464,-32.637,150.786,1/01/2020
465,-32.635,150.80100000000002,1/01/2020
466,-32.729,150.1,1/01/2020
467,-32.728,150.11700000000002,1/01/2020
468,-32.708,150.314,1/01/2020
469,-32.655,150.819,1/01/2020
470,-32.654,150.835,1/01/2020
471,-32.739000000000004,150.118,1/01/2020
472,-32.666,150.821,1/01/2020
473,-32.664,150.83700000000002,1/01/2020
474,-32.684,150.855,1/01/2020
475,-32.681999999999995,150.87,1/01/2020
476,-32.681,150.885,1/01/2020
477,-32.692,150.887,1/01/2020
478,-32.69,150.90200000000002,1/01/2020
479,-32.701,150.903,1/01/2020
480,-32.711,150.905,1/01/2020
481,-32.709,150.92,1/01/2020
482,-32.708,150.935,1/01/2020
483,-32.72,150.921,1/01/2020
484,-32.719,150.936,1/01/2020
485,-32.715,150.912,1/01/2020
486,-32.714,150.92700000000002,1/01/2020
487,-32.711999999999996,150.942,1/01/2020
488,-32.806999999999995,150.77,1/01/2020
489,-32.724000000000004,150.928,1/01/2020
490,-32.782,151.139,1/01/2020
491,-32.885999999999996,150.567,1/01/2020
492,-32.965,150.126,1/01/2020
493,-33.022,150.019,1/01/2020
494,-33.035,150.004,1/01/2020
495,-33.033,150.02,1/01/2020
496,-33.014,150.21,1/01/2020
497,-33.012,150.226,1/01/2020
498,-32.988,150.778,1/01/2020
499,-32.986,150.793,1/01/2020
500,-33.176,150.064,1/01/2020
501,-33.174,150.08100000000002,1/01/2020
502,-33.177,150.054,1/01/2020
503,-33.175,150.07,1/01/2020
504,-33.191,150.143,1/01/2020
505,-33.825,150.028,1/01/2020
506,-33.909,150.44899999999998,1/01/2020
507,-33.907,150.466,1/01/2020
508,-33.92,150.45,1/01/2020
509,-33.931,150.452,1/01/2020
510,-33.929,150.468,1/01/2020
511,-33.939,150.487,1/01/2020
512,-33.94,150.475,1/01/2020
513,-33.938,150.49200000000002,1/01/2020
514,-34.275,149.967,1/01/2020
515,-34.273,149.95600000000002,1/01/2020
516,-34.272,149.974,1/01/2020
517,-34.256,150.26,1/01/2020
518,-34.94,149.97299999999998,1/01/2020
519,-34.929,149.971,1/01/2020
520,-34.893,150.09799999999998,1/01/2020
521,-34.896,150.113,1/01/2020
522,-34.898,150.093,1/01/2020
523,-34.884,150.111,1/01/2020
524,-34.885999999999996,150.093,1/01/2020
525,-34.872,150.11,1/01/2020
526,-34.834,150.27,1/01/2020
527,-34.358000000000004,150.37,1/01/2020
528,-34.36,150.35299999999998,1/01/2020
529,-34.349000000000004,150.351,1/01/2020
530,-34.35,150.334,1/01/2020
531,-34.336999999999996,150.349,1/01/2020
532,-34.339,150.332,1/01/2020
533,-34.326,150.347,1/01/2020
534,-34.315,150.345,1/01/2020
535,-34.326,150.36,1/01/2020
536,-34.328,150.343,1/01/2020
537,-34.315,150.358,1/01/2020
538,-34.317,150.34,1/01/2020
539,-34.304,150.356,1/01/2020
540,-34.306,150.33700000000002,1/01/2020
541,-34.293,150.352,1/01/2020
542,-34.294000000000004,150.336,1/01/2020
543,-34.301,150.269,1/01/2020
544,-34.262,150.316,1/01/2020
545,-34.295,149.976,1/01/2020
546,-41.673,148.01,1/01/2020
547,-41.615,147.958,1/01/2020
548,-41.6,147.957,1/01/2020
549,-41.556999999999995,147.954,1/01/2020
550,-41.559,147.923,1/01/2020
551,-41.556000000000004,147.94899999999998,1/01/2020
552,-41.556999999999995,147.918,1/01/2020
553,-39.896,148.088,1/01/2020
554,-39.907,148.085,1/01/2020
555,-39.893,148.083,1/01/2020
556,-39.895,148.053,1/01/2020
557,-39.852,148.048,1/01/2020
558,-37.684,148.089,1/01/2020
559,-37.563,149.376,1/01/2020
560,-37.562,149.369,1/01/2020
561,-37.547,149.39,1/01/2020
562,-37.656,147.585,1/01/2020
563,-37.504,149.452,1/01/2020
564,-37.506,149.43,1/01/2020
565,-37.641,147.584,1/01/2020
566,-37.616,147.76,1/01/2020
567,-37.626999999999995,147.583,1/01/2020
568,-37.626,147.756,1/01/2020
569,-37.638000000000005,147.579,1/01/2020
570,-37.624,147.579,1/01/2020
571,-37.596,147.577,1/01/2020
572,-37.524,148.004,1/01/2020
573,-37.417,148.422,1/01/2020
574,-37.419000000000004,148.39600000000002,1/01/2020
575,-37.455999999999996,147.879,1/01/2020
576,-37.406,147.523,1/01/2020
577,-37.345,147.58,1/01/2020
578,-37.34,147.57299999999998,1/01/2020
579,-37.097,147.00799999999998,1/01/2020
580,-37.099000000000004,146.977,1/01/2020
581,-37.096,147.004,1/01/2020
582,-37.098,146.971,1/01/2020
583,-37.063,147.289,1/01/2020
584,-37.065,147.257,1/01/2020
